"municipio","valor","unidade","rotas_descritas","evidencia","confianca","erro"
"São João do Polêsine","vermelho","semáforo (verde/vermelho)","N/A","Lista de Abrigos com endereços (ex.: ""Identificação: Centro de Eventos Municipal Alfredo Roberto Bortolotto Endereço: Rua Guilherme Alberti, Centro, São João do Polêsine"") e referências genéricas a áreas/ruas não especificando trajetos (ex.: ""pelas vias principais"" não encontrado) — documento lista abrigos e áreas de risco, sem descrever trajetos de evacuação por ruas nomeadas ligando origem a ponto de encontro.","alta",""
"São Leopoldo","verde","semáforo (verde/vermelho)","Região Oeste: pela ruas Vicentina Maria Fidelis, Visconde de São Leopoldo e adjacentes em direção ao Parque do Trabalhador; Região Norte: pelas ruas Pindaí, Ianduí, Ipamoriti, Roberto Luiz Haas e adjacentes em direção à Rua Campo Bom e posterior direção à EMEF Álvaro Nunes; Região Nordeste: saindo da região da lagoa da Ocupação Steigleder pela Dom Feliciano e adjacentes, ruas Délcio Freitas e adjacentes, em direção à Rua Cora Coralina e posterior EMEF Francisco Candido Xavier; Região Pinheiro: saída da Rua Camélias, Rua João Alves Pereira e adjacentes em direção à Av. Imperatriz Leopoldina e posterior à SEMOV; Região Leste: pelas ruas Otto Daudt, Carlos Bier, Frederico Mayer e adjacentes em direção à Rua Valentim Allgayer e posterior Associação Tradicionalista da Feitoria.","“Sugestão de rota pelas ruas Vicentina Maria Fidelis, Visconde de São Leopoldo e adjacentes, em direção ao Parque do trabalhador”; “Sugestão de rota de fuga pelas Ruas, Pindaí, Ianduí, Ipamoriti, Roberto Luiz Haas e adjacentes em direção a Rua Campo Bom e posterior direção a EMEF Álvaro Nunes”; “Sugestão de rotas, saindo da região da lagoa da Ocupação Steigleder pela Dom Feliciano e adjacentes, Ruas Délcio Freitas e adjacentes, em direção à Rua Cora Coralina e posterior EMEF Francisco Candido Xavier”; “Sugestão de rota, saída da Rua Camélias, Rua João Alves Pereira e adjacentes em direção a Av. Imperatriz Leopoldina e posterior a SEMOV”; “Sugestão de rota pelas Ruas Otto Daudt, Carlos Bier, Frederico Mayer e adjacentes em direção à Rua Valentim Allgayer e posterior Associação Tradicionalista da Feitoria.”","alta",""
"São Lourenço do Sul","vermelho","semáforo (verde/vermelho)","N/A","N/A","baixa",""
"São Martinho da Serra","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento lista ações gerais, estágios operacionais, vigilância, atenção à saúde e identificação de localidades ribeirinhas, mas não especifica rotas (ex.: ""Identificação das localidades ribeirinhas, localidades potenciais de desmoronamento."") [ref_id:3][ref_id:0]","alta",""
"São Pedro da Serra","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento apresenta apenas dados cadastrais, contatos, coordenadas de heliponto e referências genéricas a ações (ex.: ""será destinado carro pipa"", ""Para os casos de deslizamento, será acionado o secretario de obras e os bombeiros"") sem indicar ruas ou percurso definido.","alta",""
"São Pedro do Sul","vermelho","semáforo (verde/vermelho)","N/A","Documento listado: ""PLANO DE CONTINGÊNCIA SPS.docx""; conteúdo presente na página: descrição geral do município, principais vias (BR-287) e locais (Prefeitura, Local de Doações), sem trecho com trajeto de evacuação nomeando ruas ligando área de risco a ponto de encontro.","alta",""
"São Sebastião do Caí","verde","semáforo (verde/vermelho)","Exemplo de rota indicada: ""Siga na direção norte na R. Gen. Câmara em direção à R. Tiradentes; Vire à direita na 1ª rua transversal para R. Tiradentes; Vire à esquerda na Av. Dr. Bruno Cassel; Vire à direita na ERS-122; Vire à direita na R. Da Boate; Vire à direita na R. Ijui; Vire à esquerda na R. Ver. José Goularte.""","ROTA 01: 1. Siga na direção norte na R. Gen. Câmara em direção à R. Tiradentes 2. Vire à direita na 1ª rua transversal para R. Tiradentes 3. Vire à esquerda na Av. Dr. Bruno Cassel 4. Vire à direita na ERS-122 5. Vire à direita na R. Da Boate 6. Vire à direita na R. Ijui 7. Vire à esquerda na R. Ver. José Goularte","alta",""
"São Sepé","vermelho","semáforo (verde/vermelho)","N/A","Tabela de Cenários de Risco indica locais afetados (ex.: ""Encosta do Rio São Sepé ... final da Rua Osvaldo Aranha"") e há ""Lista de abrigos"" com endereço do Ginásio Municipal (Av. Júlio Vargas, Nº 3112), porém o documento não descreve trajetos de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro nem mapas de rota explícitos; ações de evacuação são genéricas (ex.: ""Retirar e encaminhar as pessoas para casas de parentes e, se necessário, aos abrigos"")","alta",""
"São Vendelino","vermelho","semáforo (verde/vermelho)","N/A","Coordenar a evacuação imediata da população em áreas de risco iminente.","alta",""
"São Vicente do Sul","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a ponto de encontro; o documento lista áreas de risco, ações gerais, responsabilidades, bloqueio de trechos e abrigos com endereços (ex.: Abrigo I Identificação: Ginásio de Esportes Endereço: Rua Carapé, 424) e indicações genéricas como 'Realizar o bloqueio de trechos de rua quando necessário' e 'Controlar o Trânsito, visando à orientação' em vez de rotas definidas.","alta",""
"Sério","vermelho","semáforo (verde/vermelho)","N/A","No item 2.1.2 do sumário aparece 'Rota de fuga', porém o conteúdo recuperado não traz descrições de trajeto com ruas nomeadas; o documento descreve ações gerais por cenário (ex.: 'Desobstrução de vias e acessos a outros municípios', 'Concentração de doações no prédio principal da Prefeitura Municipal') e lista instalações/endereços, sem indicar um trajeto específico entre área de risco e ponto de encontro com nomes de ruas.","alta",""
"Tabaí","vermelho","semáforo (verde/vermelho)","N/A","Não há indicação de trajeto de evacuação com ruas nomeadas; o documento lista ""Áreas de Risco"" genéricas (ex.: ""Todo município"" / ""ESTIAGEM"") e contém seção ""Lista de Abrigos"" sem descrições de rotas específicas","alta",""
"Tapejara","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas ligando área de risco a ponto de encontro; o documento apresenta apenas lista de abrigos e instruções genéricas como 'Elaborar planejamento e modificações, tais como rotas, sinalização, etc.' e 'Controlar o trânsito, visando à orientação e evitar deslocamentos desnecessários'","alta",""
"Tapera","verde","semáforo (verde/vermelho)","Não se fez necessária a elaboração de rotas de fuga específicas para o município... Assim, todos os deslocamentos emergenciais no município serão orientados para escolas, ginásios municipais, salões comunitários e igrejas, considerados os pontos de encontro e abrigamento mais adequados, de acordo com a localização e a necessidade das comunidades afetadas.","Não se fez necessária a elaboração de rotas de fuga específicas para o município, considerando que a área urbana é de pequena extensão e facilmente acessível. ... Assim, todos os deslocamentos emergenciais no município serão orientados para escolas, ginásios municipais, salões comunitários e igrejas, considerados os pontos de encontro e abrigamento mais adequados, de acordo com a localização e a necessidade das comunidades afetadas.","alta",""
"Tapes","vermelho","semáforo (verde/vermelho)","N/A","Listas e descrições presentes no documento incluem: (a) áreas de risco nomeadas (ex.: Arroio Teixeira, Balneário Rebello, Pinvest, Centro, Pontal) e um mapa de inundação mostrando setores/ruas afetadas (ex.: Rua Caramuru), (b) lista de abrigos com endereços (ex.: Rua Vitalina Lima Meireles, Rua Professor Luiz Vieira, Paróquia Nossa Senhora do Carmo), (c) instruções genéricas de evacuação/ativação do plano e responsabilidades por órgãos, mas não há trechos que indiquem um trajeto de evacuação específico com ruas/vias nomeadas ligando uma área de risco a um ponto de encontro seguro (ex.: ""pela Rua X até a Escola Y"").","alta",""
"Taquara","vermelho","semáforo (verde/vermelho)","N/A","Página com título '2.1.2 Rota de fuga' está praticamente em branco (sem descrição de ruas) e o documento apresenta apenas itens genéricos como 'Rota de fuga' no sumário e planejamento/atribuições com abrigo e recursos, sem indicação de trajeto nomeado entre área de risco e ponto de encontro","alta",""
"Taquari","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ações de evacuação genéricas como ""remoção de famílias em risco iminente"" e responsabilidades por alertas/abrigos (ex.: ""Retirada da população das áreas de risco.""; ""Identificar locais para abrigamento; instalar abrigos temporários."") e descreve níveis de alerta e procedimentos de monitoramento, sem descrever trajetos ou ruas nomeadas ligando áreas de risco a pontos de encontro específicos.","alta",""
"Tavares","vermelho","semáforo (verde/vermelho)","N/A","Lista de Abrigos — Identificação: Ginásio de Esportes Professora Maria Alzira — Endereço: Rua Tereza Carvalho de Noronha; Identificação: CRAS — Endereço: Rua Marcelo Gama; texto: ""5.2 Isolamento do local a ser feito pela Secretaria Municipal de Obras Públicas e urbanas. SMOPSU""; não há trechos que indiquem um trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro","alta",""
"Teutônia","vermelho","semáforo (verde/vermelho)","N/A","Locais de Acolhimento: Conforme “Anexo D”.","alta",""
"Tio Hugo","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; o documento traz apenas lista de abrigos com endereços e orientações genéricas sobre evacuação e atuação (ex.: ""Atuar na busca, salvamento e evacuação das pessoas atingidas pelo desastre"") e lista de abrigos (ex.: ""Abrigo I Identificação: Ginásio Municipal De Esportes Gilmar Mühl Endereço: Parque Municipal de Eventos""). [ref_id:6][ref_id:3]","alta",""
"Toropi","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos contém endereços de abrigos (ex.: ""Ginásio Municipal de Esportes - Rua Afonso Maurer"", ""Pavilhão da Comunidade Católica - Av. Emancipação – Centro"", ""Pavilhão da Comunidade Luterana São Paulo - Rua 22 de outubro – centro""). O documento de áreas de risco cita locais e trechos (ex.: ""Rua 20 e parte Rua 22 de outubro próximo Arroio Barrero"") mas não descreve trajeto de evacuação específico ligando área de risco a ponto de encontro por ruas nomeadas.","alta",""
"Travesseiro","vermelho","semáforo (verde/vermelho)","N/A","7. Lista de Abrigos. Abrigo 1 Identificação Ginásio Municipal Endereço Rua Augusto Marco Stefani, s/n - Centro","alta",""
"Triunfo","vermelho","semáforo (verde/vermelho)","N/A","""O Abrigo para ponto de Encontro em caso de desastre será o Escola Municipal Oswaldo Aranha."" [ref_id:8]","alta",""
"Três Arroios","vermelho","semáforo (verde/vermelho)","N/A","Seção 6 — Ações: ""III. Evacuação e assistência às vítimas com cadastramento via Secretaria Municipal de Assistência Social; acolhimento em abrigos ou casas de familiares."" e tabela de áreas de risco referindo ""inundar casas, pontes, estradas... impedindo o deslocamento da população.""","alta",""
"Três Coroas","vermelho","semáforo (verde/vermelho)","N/A","""A evacuação ... sendo a evacuação das áreas afetadas sempre pelas principais ruas a serem definidas de acordo com a magnitude do evento adverso"" [ref_id:15]","alta",""
"Tunas","vermelho","semáforo (verde/vermelho)","N/A","Evacuação da área de risco: Em caso de risco será realizada a evacuação das famílias que residem próximo a área de risco de forma preventiva. Essa evacuação será realizada pela Defesa Civil Municipal e pela Assistência Social. Em caso de as famílias não ter parentes ou amigos que possam as abrigar temporariamente os mesmos serão encaminhados para um local seguro (abrigo I) previamente organizado pela Secretaria de Assistência Social...","alta",""
"Tupanci do Sul","vermelho","semáforo (verde/vermelho)","N/A","Realizar a remoção de pessoas das áreas de risco Dispor de veículos para transporte de recursos humanos e materiais para socorra às vítimas Abrigos - Endereço: Av. Luiz Panisson","alta",""
"Tupanciretã","vermelho","semáforo (verde/vermelho)","N/A","Seções consultadas listam ""Áreas de Risco do Município"" e ações/recursos (ex.: tabela de locais e riscos, lista de ações 5.1–5.8, identificação de abrigos e estoques), mas não apresentam trechos que descrevam um trajeto de evacuação específico com ruas/vias nomeadas ligando área de risco a ponto de encontro; há menção genérica a deslocamento para ""Posto de Comando"" e uso de ""vias"" sem nomes próprios especificados. [ref_id:4][ref_id:5][ref_id:3]","alta",""
"Tupandi","vermelho","semáforo (verde/vermelho)","N/A","O documento apresenta uma seção ""Lista De Abrigos"" com endereços dos abrigos (ex.: ""Ginásio Municipal Júlio Redecker — Rua Carlos F. Mombach"") e identifica áreas de risco (ex.: ""Várzea, São Benedito, Rua da Produção""), mas não descreve trajetos de evacuação com ruas nomeadas ligando áreas de risco a ponto de encontro nem apresenta mapa de rotas especificando ruas para evacuação [ref_id:3][ref_id:1][ref_id:2]","alta",""
"Turuçu","vermelho","semáforo (verde/vermelho)","N/A","Observações mencionam alagamentos em ruas específicas (Ruas Marcos Militão de Borba, Theodoro Bartz, avenida Arthur Lange, Costa do Arroio Grande, loteamento Neldo Ramm e Vila Anderson), e há seção ""Lista De Abrigos"" com endereços de abrigos; não há descrição de trajeto de evacuação com ruas nomeadas ligando área de risco a ponto de encontro nem mapa de rotas definido.","alta",""
"Unistalda","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGOS Identificação: Ginasio de Esportes Heron Ribeiro Endereço: Rua Neto Finamor ...5.2 Retirar e encaminhar pessoas a casas de parentes e se necessário aos abrigos ...o Elaborar planejamento e modificações, tais como rotas, sinalização, etc. em locais vulneráveis ou em evolução.","alta",""
"Vale Real","vermelho","semáforo (verde/vermelho)","N/A","As ruas aqui elencadas são pontos de referência a serem utilizadas em caso de eventos de inundação, enxurradas e alagamentos, sempre atentar a possíveis pontos não mencionados que possam ser atingidos.","alta",""
"Vale Verde","vermelho","semáforo (verde/vermelho)","N/A","Documentos apresentam lista de áreas de risco, instruções gerais de ação e lista de abrigos com endereços (ex.: ""Abrigo I ... Endereço: Rua Benno Schuch""), mas não descrevem trajeto de evacuação com ruas nomeadas ligando área de risco a ponto de encontro nem mapa de rotas específico.","alta",""
"Vanini","vermelho","semáforo (verde/vermelho)","N/A","O documento lista atividades de remoção e abrigos com endereços (ex.: ""Realizar a remoção de pessoas das áreas de risco"") e nomes/endereços de abrigos (ex.: ""Endereço: Rua Duque de Caxias"", ""Centro Esportivo Municipal - Endereço: Comunidade São João""), mas não descreve trajeto(s) específico(s) por ruas ligando áreas de risco a ponto(s) de encontro/locais seguros nem mapa de rotas.","alta",""
"Venâncio Aires","vermelho","semáforo (verde/vermelho)","N/A","Lista de ABRIGOS com endereços (ex.: ""ABRIGO I - PARQUE DO CHIMARRÃO"", ""ABRIGO II - GINÁSIO LINHA MANGUEIRÃO"") e ""ÁREAS VULNERÁVEIS DO MUNICÍPIO – IDENTIFICAÇÃO DE ÁREA DE RISCO"" com bairros/trechos afetados, além de mapas de manchas de inundação, sem descrição de trajetos de evacuação com ruas nomeadas ligando área de risco a ponto de encontro","alta",""
"Vera Cruz","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação específicos com ruas nomeadas ligando áreas de risco a pontos de encontro; o documento apresenta atribuições institucionais, lista de contatos, recursos e quebras de cenário, mas não indica rotas definidas (por exemplo: ""Elaborar planejamento e modificações, tais como rotas, sinalização, etc. em locais vulneráveis ou em evolução."") [ref_id:3]","alta",""
"Vespasiano Corrêa","vermelho","semáforo (verde/vermelho)","N/A","Capacitação de voluntários e rotas de evacuação - Formação de equipes de apoio e definição de caminhos seguros.","alta",""
"Viadutos","vermelho","semáforo (verde/vermelho)","N/A","Nenhum documento foi anexado.","alta",""
"Viamão","vermelho","semáforo (verde/vermelho)","N/A","As equipes devem percorrer as ruas designadas, orientando os moradores a se dirigirem ao ponto de encontro.","alta",""
"Victor Graeff","vermelho","semáforo (verde/vermelho)","N/A","O documento lista evacuação e alojamento em abrigos: ""Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes"" e apresenta apenas endereços de abrigos sem descrever trajetos nomeados entre área de risco e ponto de encontro; também usa termos genéricos como ""toda área do município"" e meios de alerta (rádio, site, WhatsApp) sem rotas nomeadas.","alta",""
"Vila Lângaro","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ações de evacuação/serviços (ex.: ""5.3 - Atuar na busca, salvamento e evacuação das pessoas atingida pelo desastre"") e apresenta uma ""LISTA DE ABRIGOS"" com endereços (ex.: ""Endereço: Avenida Vitório Costella n°605""), mas não descreve trajetos ou ruas nomeadas ligando áreas de risco a ponto de encontro/abrigo nem mapa de rotas definidos.","alta",""
"Vila Maria","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas conectando área de risco a ponto de encontro; o documento lista ações genéricas de remoção e abrigo e apresenta endereço de abrigos (ex.: ""Endereço: Rua Dr. Getúlio Vargas 644"") mas não indica rota definida como ""pela Rua X até...""","alta",""
"Vila Nova do Sul","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos ... Abrigo III Identificação: Escola Municipal Maria Pereira Teixeira Endereço: Rua: Jarves Alves Dias, 100, Ribeiro","alta",""
"Westfália","vermelho","semáforo (verde/vermelho)","N/A","Lista de Abrigos ... Identificação Ginásio Municipal ... Endereço Linha Paissandu Rua Alfredo Dahmer, 862 - Centro Rua Henrique Uebel Linha Berlim","alta",""
"Água Santa","vermelho","semáforo (verde/vermelho)","N/A","Não há no documento trecho que descreva um trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; as seções listam áreas de risco, responsáveis, ações e contatos, sem indicação de rota como ""pela Rua X até o ponto de encontro na Escola Y"" ou mapa de rotas.","alta",""
"Áurea","vermelho","semáforo (verde/vermelho)","N/A","Lista de abrigos com endereços (ex.: ""Endereço: Praça João Paulo II, Nº 33 - Centro""; ""Endereço: Rua da Matriz, 267, Centro""), e menções genéricas a ações como ""realizar a remoção de pessoas das áreas de risco"" e ""principal(ais) vias"" sem descrição de trajeto específico","alta",""
